Are.you.self.employed.,How.many.employees.does.your.company.or.organization.have.,Is.your.employer.primarily.a.tech.company.organization.,Is.your.primary.role.within.your.company.related.to.tech.IT.,Does.your.employer.provide.mental.health.benefits.as.part.of.healthcare.coverage.,Do.you.know.the.options.for.mental.health.care.available.under.your.employer.provided.coverage.,Has.your.employer.ever.formally.discussed.mental.health..for.example..as.part.of.a.wellness.campaign.or.other.official.communication..,Does.your.employer.offer.resources.to.learn.more.about.mental.health.concerns.and.options.for.seeking.help.,Is.your.anonymity.protected.if.you.choose.to.take.advantage.of.mental.health.or.substance.abuse.treatment.resources.provided.by.your.employer.,If.a.mental.health.issue.prompted.you.to.request.a.medical.leave.from.work..asking.for.that.leave.would.be.,Do.you.think.that.discussing.a.mental.health.disorder.with.your.employer.would.have.negative.consequences.,Do.you.think.that.discussing.a.physical.health.issue.with.your.employer.would.have.negative.consequences.,Would.you.feel.comfortable.discussing.a.mental.health.disorder.with.your.coworkers.,Would.you.feel.comfortable.discussing.a.mental.health.disorder.with.your.direct.supervisor.s..,Do.you.feel.that.your.employer.takes.mental.health.as.seriously.as.physical.health.,Have.you.heard.of.or.observed.negative.consequences.for.co.workers.who.have.been.open.about.mental.health.issues.in.your.workplace.,Do.you.have.medical.coverage..private.insurance.or.state.provided..which.includes.treatment.of..mental.health.issues.,Do.you.know.local.or.online.resources.to.seek.help.for.a.mental.health.disorder.,If.you.have.been.diagnosed.or.treated.for.a.mental.health.disorder..do.you.ever.reveal.this.to.clients.or.business.contacts.,If.you.have.revealed.a.mental.health.issue.to.a.client.or.business.contact..do.you.believe.this.has.impacted.you.negatively.,If.you.have.been.diagnosed.or.treated.for.a.mental.health.disorder..do.you.ever.reveal.this.to.coworkers.or.employees.,If.you.have.revealed.a.mental.health.issue.to.a.coworker.or.employee..do.you.believe.this.has.impacted.you.negatively.,Do.you.believe.your.productivity.is.ever.affected.by.a.mental.health.issue.,If.yes..what.percentage.of.your.work.time..time.performing.primary.or.secondary.job.functions..is.affected.by.a.mental.health.issue.,Do.you.have.previous.employers.,Have.your.previous.employers.provided.mental.health.benefits.,Were.you.aware.of.the.options.for.mental.health.care.provided.by.your.previous.employers.,Did.your.previous.employers.ever.formally.discuss.mental.health..as.part.of.a.wellness.campaign.or.other.official.communication..,Did.your.previous.employers.provide.resources.to.learn.more.about.mental.health.issues.and.how.to.seek.help.,Was.your.anonymity.protected.if.you.chose.to.take.advantage.of.mental.health.or.substance.abuse.treatment.resources.with.previous.employers.,Do.you.think.that.discussing.a.mental.health.disorder.with.previous.employers.would.have.negative.consequences.,Do.you.think.that.discussing.a.physical.health.issue.with.previous.employers.would.have.negative.consequences.,Would.you.have.been.willing.to.discuss.a.mental.health.issue.with.your.previous.co.workers.,Would.you.have.been.willing.to.discuss.a.mental.health.issue.with.your.direct.supervisor.s..,Did.you.feel.that.your.previous.employers.took.mental.health.as.seriously.as.physical.health.,Did.you.hear.of.or.observe.negative.consequences.for.co.workers.with.mental.health.issues.in.your.previous.workplaces.,Would.you.be.willing.to.bring.up.a.physical.health.issue.with.a.potential.employer.in.an.interview.,Would.you.bring.up.a.mental.health.issue.with.a.potential.employer.in.an.interview.,Do.you.feel.that.being.identified.as.a.person.with.a.mental.health.issue.would.hurt.your.career.,Do.you.think.that.team.members.co.workers.would.view.you.more.negatively.if.they.knew.you.suffered.from.a.mental.health.issue.,How.willing.would.you.be.to.share.with.friends.and.family.that.you.have.a.mental.illness.,Have.you.observed.or.experienced.an.unsupportive.or.badly.handled.response.to.a.mental.health.issue.in.your.current.or.previous.workplace.,Do.you.have.a.family.history.of.mental.illness.,Have.you.had.a.mental.health.disorder.in.the.past.,Do.you.currently.have.a.mental.health.disorder.,Have.you.been.diagnosed.with.a.mental.health.condition.by.a.medical.professional.,Have.you.ever.sought.treatment.for.a.mental.health.issue.from.a.mental.health.professional.,If.you.have.a.mental.health.issue..do.you.feel.that.it.interferes.with.your.work.when.being.treated.effectively.,If.you.have.a.mental.health.issue..do.you.feel.that.it.interferes.with.your.work.when.NOT.being.treated.effectively.,What.is.your.age.,What.is.your.gender.,What.country.do.you.live.in.,What.US.state.or.territory.do.you.live.in.,What.country.do.you.work.in.,What.US.state.or.territory.do.you.work.in.,Which.of.the.following.best.describes.your.work.position.,Do.you.work.remotely.
Yes,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,No,"No, I don't know any",Not applicable to me,N/A,Not applicable to me,Not applicable to me,Unsure,Not Affected or Unsure,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),No,No,No,No,No,No,Not applicable to me,Not applicable to me,31,male,Finland,Does not live in US,Finland,Does not work in US,One-person shop|Designer|Front-end Developer|Support|Dev Evangelist/Advocate,Sometimes
No,100-500,Yes,Tech Company,Yes,Yes,No,I don't know,I don't know,Very difficult,Yes,No,No,No,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,Some did,"No, I only became aware later",Some did,Some did,I don't know,"Yes, all of them",Some of them,Some of my previous employers,"No, at none of my previous employers",None did,Some of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,Yes,Yes,No,Yes,Not applicable to me,Often,34,male,United States of America,Indiana,United States of America,Colorado,Back-end Developer|Front-end Developer,Always
No,More than 1000,No,Yes,No,N/A,No,Yes,Yes,Very easy,No,No,Yes,Yes,No,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,Maybe,Maybe,Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,Rarely,Sometimes,33,male,United Kingdom,Does not live in US,United Kingdom,Does not work in US,Front-end Developer,Sometimes
No,5-Jan,Yes,Tech Company,No,No,No,No,No,Somewhat difficult,Maybe,Maybe,No,No,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,No,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,Maybe,No,"Yes, I think it would","Yes, I think they would",Not open at all,No,I don't know,Yes,Yes,No,No,Sometimes,Sometimes,22,male,United Kingdom,Does not live in US,United Kingdom,Does not work in US,Front-end Developer,Never
No,25-Jun,Yes,Tech Company,Not eligible for coverage / N/A,N/A,No,No,I don't know,Somewhat easy,No,No,Maybe,Maybe,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,I don't know,I don't know,None of them,Maybe,Maybe,Maybe,Maybe,Not applicable to me (I do not have a mental illness),No,I don't know,No,No,No,No,Not applicable to me,Not applicable to me,25,female,United Kingdom,Does not live in US,United Kingdom,Does not work in US,Front-end Developer|Supervisor/Team Lead,Sometimes
No,More than 1000,No,Yes,I don't know,No,No,No,I don't know,Very easy,No,No,Maybe,Maybe,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,Some did,"Yes, I was aware of all of them",Some did,Some did,No,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,Maybe,Maybe,"No, I don't think they would",Neutral,No,No,No,No,No,No,Not applicable to me,Not applicable to me,34,male,United Kingdom,Does not live in US,United Kingdom,Does not work in US,Front-end Developer|Back-end Developer,Never
No,25-Jun,Yes,Tech Company,Not eligible for coverage / N/A,N/A,No,No,I don't know,Neither easy nor difficult,Yes,Maybe,Maybe,No,No,Yes,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,No,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No,No,"Yes, I think it would","Yes, I think they would",Neutral,"Yes, I observed",Yes,Maybe,Maybe,No,No,Not applicable to me,Not applicable to me,30,male,United Kingdom,Does not live in US,United Kingdom,Does not work in US,Front-end Developer,Sometimes
No,26-100,Yes,Tech Company,No,No,No,No,I don't know,Somewhat difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,Some did,I was aware of some,None did,None did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,Maybe/Not sure,I don't know,Yes,Maybe,Yes,Yes,Sometimes,Sometimes,37,male,United Kingdom,Does not live in US,United Kingdom,Does not work in US,Front-end Developer,Never
No,25-Jun,Yes,Tech Company,No,No,No,No,No,Somewhat difficult,Yes,Maybe,No,No,No,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers",Some of my previous employers,None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Not open at all,Maybe/Not sure,No,Yes,Yes,No,No,Not applicable to me,Sometimes,26,male,Chile,Does not live in US,Chile,Does not work in US,Front-end Developer,Never
No,More than 1000,No,Yes,Yes,Yes,Yes,Yes,I don't know,I don't know,No,No,Maybe,Yes,Yes,Yes,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,No,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",No,Yes,Maybe,Yes,Yes,Rarely,Sometimes,29,female,United States of America,Texas,United States of America,Texas,Front-end Developer,Never
No,25-Jun,Yes,Tech Company,No,No,I don't know,I don't know,No,Very difficult,Yes,No,Maybe,No,No,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Maybe,"Yes, they do",Very open,"Yes, I observed",I don't know,No,No,No,Yes,Sometimes,Often,29,male,Chile,Does not live in US,Chile,Does not work in US,Designer|Front-end Developer,Sometimes
No,26-100,No,Yes,No,N/A,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,No,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,Some did,I was aware of some,Some did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",None did,Some of them,Maybe,No,Maybe,Maybe,Somewhat not open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,Sometimes,Often,27,male,United Kingdom,Does not live in US,United Kingdom,Does not work in US,Front-end Developer|Designer,Never
No,25-Jun,No,Yes,No,No,No,No,I don't know,Neither easy nor difficult,Yes,No,No,Yes,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,Yes,No,"Yes, it has",Maybe,Somewhat open,No,Yes,Yes,No,Yes,Yes,Sometimes,Rarely,27,female,Chile,Does not live in US,Chile,Does not work in US,Front-end Developer,Sometimes
No,More than 1000,No,Yes,I don't know,No,Yes,Yes,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,Yes,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,No,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,Maybe,Yes,"Yes, I think it would","Yes, I think they would",Somewhat open,N/A,No,No,No,No,No,Not applicable to me,Not applicable to me,23,male,United States of America,Massachusetts,United States of America,Massachusetts,Back-end Developer|Front-end Developer,Sometimes
No,More than 1000,Yes,Tech Company,I don't know,Yes,No,Yes,Yes,Very easy,No,No,No,Yes,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,I don't know,N/A (not currently aware),None did,Some did,"Yes, always",None of them,Some of them,"Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did",None of them,Maybe,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat not open,No,No,No,No,No,No,Not applicable to me,Not applicable to me,24,female,United States of America,Massachusetts,United States of America,Massachusetts,Front-end Developer,Sometimes
Yes,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,No,"Yes, I know several","Sometimes, if it comes up",No,"Sometimes, if it comes up",No,Yes,26-50%,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,Yes,Yes,"No, I don't think it would","Yes, they do",Very open,No,I don't know,Yes,Yes,Yes,No,Sometimes,Sometimes,22,male,Guatemala,Does not live in US,Guatemala,Does not work in US,Designer|Front-end Developer|Back-end Developer|Other,Sometimes
No,5-Jan,No,Yes,No,No,No,No,No,Very easy,No,No,Yes,Yes,Yes,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"No, none did",N/A (not currently aware),None did,None did,No,I don't know,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Maybe,Maybe,Maybe,"No, they do not",Somewhat open,No,No,Maybe,No,No,No,Not applicable to me,Not applicable to me,28,male,United Kingdom,Does not live in US,United Kingdom,Does not work in US,DevOps/SysAdmin|Front-end Developer|Back-end Developer|Support,Never
No,25-Jun,No,Yes,I don't know,I am not sure,No,No,I don't know,I don't know,Maybe,No,No,Maybe,No,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,Yes,No,"Yes, I think it would","Yes, I think they would",Neutral,No,Yes,Yes,Yes,Yes,Yes,Sometimes,Often,22,male,United States of America,Iowa,United States of America,Iowa,Front-end Developer|Designer,Never
No,26-100,Yes,Tech Company,No,Yes,No,No,No,Somewhat easy,Maybe,Maybe,No,No,No,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,Some did,I was aware of some,None did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,Maybe,"Yes, I think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,Yes,Maybe,Maybe,No,No,Not applicable to me,Sometimes,32,male,United States of America,Massachusetts,United States of America,Massachusetts,Front-end Developer,Sometimes
No,25-Jun,Yes,Tech Company,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Maybe,No,Yes,Maybe,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,"Yes, at all of my previous employers",Some of my previous employers,Some did,Some of them,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,No,Yes,Yes,Yes,Yes,Rarely,Sometimes,35,female,United States of America,Oregon,United States of America,Oregon,DevOps/SysAdmin,Always
No,26-100,Yes,Tech Company,Yes,Yes,No,I don't know,I don't know,Very easy,Maybe,No,No,Yes,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,None of them,"No, at none of my previous employers",Some of my previous employers,None did,None of them,Yes,Yes,"No, I don't think it would","No, I don't think they would",Somewhat not open,No,No,Yes,Yes,Yes,Yes,Sometimes,Sometimes,26,male,United States of America,California,United States of America,California,Back-end Developer,Sometimes
No,More than 1000,Yes,Tech Company,No,Yes,Yes,Yes,I don't know,Somewhat difficult,Yes,Yes,No,Maybe,No,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"No, none did","No, I only became aware later",Some did,None did,No,"Yes, all of them","Yes, all of them","No, at none of my previous employers",Some of my previous employers,None did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I experienced",I don't know,No,Yes,Yes,Yes,Rarely,Often,31,female,United Kingdom,Does not live in US,United Kingdom,Does not work in US,Front-end Developer,Sometimes
Yes,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Yes,"Yes, I know several","Sometimes, if it comes up",No,"Sometimes, if it comes up",I'm not sure,Yes,26-50%,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,No,Maybe,"No, they do not",Very open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,Rarely,Often,32,male,United States of America,Colorado,United States of America,Colorado,Executive Leadership|Supervisor/Team Lead|Front-end Developer,Sometimes
No,100-500,Yes,Tech Company,No,No,No,No,No,Somewhat difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"No, none did",N/A (not currently aware),None did,None did,No,I don't know,None of them,Some of my previous employers,"Yes, at all of my previous employers",None did,Some of them,No,No,"Yes, it has","Yes, I think they would",Somewhat open,No,I don't know,Yes,Maybe,Yes,Yes,Not applicable to me,Often,37,male,Pakistan,Does not live in US,Pakistan,Does not work in US,Supervisor/Team Lead,Sometimes
No,25-Jun,No,Yes,No,No,No,No,Yes,Neither easy nor difficult,No,No,Maybe,Maybe,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,No,Maybe,"No, I don't think they would",Somewhat not open,No,No,Yes,Yes,Yes,Yes,Never,Sometimes,24,male,United Kingdom,Does not live in US,United Kingdom,Does not work in US,Front-end Developer|Back-end Developer,Never
No,26-100,Yes,Tech Company,Yes,Yes,Yes,Yes,I don't know,Very easy,No,No,Yes,Yes,Yes,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",Some did,None of them,Yes,Yes,"No, I don't think it would","No, I don't think they would",Very open,No,No,No,No,No,No,Not applicable to me,Not applicable to me,33,male,United States of America,Washington,United States of America,California,Back-end Developer,Always
No,100-500,Yes,Tech Company,Yes,Yes,No,Yes,Yes,Somewhat easy,No,No,Yes,Yes,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Yes,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,I don't know,No,Yes,Yes,Yes,Sometimes,Often,28,male,United States of America,Massachusetts,United States of America,Massachusetts,DevOps/SysAdmin,Sometimes
No,More than 1000,Yes,Tech Company,I don't know,No,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe,Maybe,Maybe,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,No,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,Yes,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat not open,No,I don't know,Maybe,Maybe,No,Yes,Never,Sometimes,22,female,United States of America,Virginia,United States of America,Virginia,Back-end Developer|Front-end Developer,Sometimes
No,100-500,Yes,Tech Company,Not eligible for coverage / N/A,N/A,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,No,No,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,No,Maybe,"No, I don't think they would",Somewhat not open,"Yes, I experienced",Yes,Yes,Maybe,Yes,Yes,Sometimes,Often,46,male,Germany,Does not live in US,Germany,Does not work in US,Back-end Developer,Sometimes
